Fam20c	FAM20C, golgi associated secretory pathway kinase	MGI:2136853	Mus musculus/domesticus	uterus
Fos	FBJ osteosarcoma oncogene	MGI:95574	Mus musculus/domesticus	placenta
Fos	FBJ osteosarcoma oncogene	MGI:95574	Mus musculus/domesticus	uterus
Fosl1	fos-like antigen 1	MGI:107179	Mus musculus/domesticus	placenta
Foxl2	forkhead box L2	MGI:1349428	Mus musculus/domesticus	uterus
Frs2	fibroblast growth factor receptor substrate 2	MGI:1100860	Mus musculus/domesticus	uterus
Fzd10	frizzled class receptor 10	MGI:2136761	Mus musculus/domesticus	uterus
Fzd2	frizzled class receptor 2	MGI:1888513	Mus musculus/domesticus	placenta
Fzd2	frizzled class receptor 2	MGI:1888513	Mus musculus/domesticus	uterus
Gabrp	gamma-aminobutyric acid type A receptor subunit pi	MGI:2387597	Mus musculus/domesticus	uterus
Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	MGI:1914342	Mus musculus/domesticus	placenta
Gatm	glycine amidinotransferase (L-arginine:glycine amidinotransferase)	MGI:1914342	Mus musculus/domesticus	uterus
Gdf10	growth differentiation factor 10	MGI:95684	Mus musculus/domesticus	uterus
Gzmb	granzyme B	MGI:109267	Mus musculus/domesticus	placenta
Gzmc	granzyme C	MGI:109256	Mus musculus/domesticus	placenta
Gzmd	granzyme D	MGI:109255	Mus musculus/domesticus	placenta
Gzme	granzyme E	MGI:109265	Mus musculus/domesticus	placenta
Gzmf	granzyme F	MGI:109254	Mus musculus/domesticus	placenta
Gzmg	granzyme G	MGI:109253	Mus musculus/domesticus	placenta
Gzmg	granzyme G	MGI:109253	Mus musculus/domesticus	uterus
H2-D1	histocompatibility 2, D region locus 1	MGI:95896	Mus musculus/domesticus	placenta
H2-D1	histocompatibility 2, D region locus 1	MGI:95896	Mus musculus/domesticus	uterus
H2-K1	histocompatibility 2, K1, K region	MGI:95904	Mus musculus/domesticus	placenta
H2-Q4	histocompatibility 2, Q region locus 4	MGI:95933	Mus musculus/domesticus	placenta
H2-T10	histocompatibility 2, T region locus 10	MGI:95942	Mus musculus/domesticus	placenta
H2-T23	histocompatibility 2, T region locus 23	MGI:95957	Mus musculus/domesticus	placenta
Hnf1b	HNF1 homeobox B	MGI:98505	Mus musculus/domesticus	placenta
Hnrnpc	heterogeneous nuclear ribonucleoprotein C	MGI:107795	Mus musculus/domesticus	uterus
Hpn	hepsin	MGI:1196620	Mus musculus/domesticus	uterus
Hsd11b2	hydroxysteroid 11-beta dehydrogenase 2	MGI:104720	Mus musculus/domesticus	placenta
Hspa1a	heat shock protein 1A	MGI:96244	Mus musculus/domesticus	placenta
Hspa1l	heat shock protein 1-like	MGI:96231	Mus musculus/domesticus	placenta
Hspa1l	heat shock protein 1-like	MGI:96231	Mus musculus/domesticus	uterus
Hspg2	perlecan (heparan sulfate proteoglycan 2)	MGI:96257	Mus musculus/domesticus	placenta
Hspg2	perlecan (heparan sulfate proteoglycan 2)	MGI:96257	Mus musculus/domesticus	uterus
Id2	inhibitor of DNA binding 2	MGI:96397	Mus musculus/domesticus	placenta
Igf2bp1	insulin-like growth factor 2 mRNA binding protein 1	MGI:1890357	Mus musculus/domesticus	uterus
Il2rg	interleukin 2 receptor, gamma chain	MGI:96551	Mus musculus/domesticus	placenta
Il2rg	interleukin 2 receptor, gamma chain	MGI:96551	Mus musculus/domesticus	uterus
Il31ra	interleukin 31 receptor A	MGI:2180511	Mus musculus/domesticus	uterus
Inhba	inhibin beta-A	MGI:96570	Mus musculus/domesticus	placenta
Inhba	inhibin beta-A	MGI:96570	Mus musculus/domesticus	uterus
Irf8	interferon regulatory factor 8	MGI:96395	Mus musculus/domesticus	uterus
Irgm1	immunity-related GTPase family M member 1	MGI:107567	Mus musculus/domesticus	placenta
Irgm1	immunity-related GTPase family M member 1	MGI:107567	Mus musculus/domesticus	uterus
Itga7	integrin alpha 7	MGI:102700	Mus musculus/domesticus	placenta
Itga7	integrin alpha 7	MGI:102700	Mus musculus/domesticus	uterus
Kcnj2	potassium inwardly-rectifying channel, subfamily J, member 2	MGI:104744	Mus musculus/domesticus	placenta
Kcnj2	potassium inwardly-rectifying channel, subfamily J, member 2	MGI:104744	Mus musculus/domesticus	uterus
Kcnk1	potassium channel, subfamily K, member 1	MGI:109322	Mus musculus/domesticus	placenta
Kcnk1	potassium channel, subfamily K, member 1	MGI:109322	Mus musculus/domesticus	uterus
Kcnq1	potassium voltage-gated channel, subfamily Q, member 1	MGI:108083	Mus musculus/domesticus	placenta
Kcnq1	potassium voltage-gated channel, subfamily Q, member 1	MGI:108083	Mus musculus/domesticus	uterus
Kcnq1ot1	KCNQ1 overlapping transcript 1	MGI:1926855	Mus musculus/domesticus	placenta
Klk1	kallikrein 1	MGI:102850	Mus musculus/domesticus	placenta
Klk1	kallikrein 1	MGI:102850	Mus musculus/domesticus	uterus
Klk1b21	kallikrein 1-related peptidase b21	MGI:892022	Mus musculus/domesticus	placenta
Klk1b21	kallikrein 1-related peptidase b21	MGI:892022	Mus musculus/domesticus	uterus
Klk1b27	kallikrein 1-related peptidase b27	MGI:891980	Mus musculus/domesticus	uterus
Klk1b3	kallikrein 1-related peptidase b3	MGI:97322	Mus musculus/domesticus	placenta
Klk1b3	kallikrein 1-related peptidase b3	MGI:97322	Mus musculus/domesticus	uterus
Klk1b4	kallikrein 1-related pepidase b4	MGI:97320	Mus musculus/domesticus	placenta
Klk1b4	kallikrein 1-related pepidase b4	MGI:97320	Mus musculus/domesticus	uterus
Klk1b5	kallikrein 1-related peptidase b5	MGI:892020	Mus musculus/domesticus	placenta
Klk1b5	kallikrein 1-related peptidase b5	MGI:892020	Mus musculus/domesticus	uterus
Klk1b9	kallikrein 1-related peptidase b9	MGI:95293	Mus musculus/domesticus	placenta
Klk1b9	kallikrein 1-related peptidase b9	MGI:95293	Mus musculus/domesticus	uterus
Krt18	keratin 18	MGI:96692	Mus musculus/domesticus	placenta
Krt7	keratin 7	MGI:96704	Mus musculus/domesticus	placenta
Krt8	keratin 8	MGI:96705	Mus musculus/domesticus	placenta
Lamb1	laminin B1	MGI:96743	Mus musculus/domesticus	placenta
Lamb1	laminin B1	MGI:96743	Mus musculus/domesticus	uterus
Laptm5	lysosomal-associated protein transmembrane 5	MGI:108046	Mus musculus/domesticus	placenta
Laptm5	lysosomal-associated protein transmembrane 5	MGI:108046	Mus musculus/domesticus	uterus
Lbp	lipopolysaccharide binding protein	MGI:1098776	Mus musculus/domesticus	uterus
Lcp1	lymphocyte cytosolic protein 1	MGI:104808	Mus musculus/domesticus	placenta
Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein	MGI:99554	Mus musculus/domesticus	placenta
Lgals3bp	lectin, galactoside-binding, soluble, 3 binding protein	MGI:99554	Mus musculus/domesticus	uterus
Lgi4	leucine-rich repeat LGI family, member 4	MGI:2180197	Mus musculus/domesticus	uterus
Lima1	LIM domain and actin binding 1	MGI:1920992	Mus musculus/domesticus	uterus
Lox	lysyl oxidase	MGI:96817	Mus musculus/domesticus	placenta
Lox	lysyl oxidase	MGI:96817	Mus musculus/domesticus	uterus
Lrat	lecithin-retinol acyltransferase (phosphatidylcholine-retinol-O-acyltransferase)	MGI:1891259	Mus musculus/domesticus	placenta
Lrp1	low density lipoprotein receptor-related protein 1	MGI:96828	Mus musculus/domesticus	placenta
Lrp1	low density lipoprotein receptor-related protein 1	MGI:96828	Mus musculus/domesticus	uterus
Lrrfip1	leucine rich repeat (in FLII) interacting protein 1	MGI:1342770	Mus musculus/domesticus	uterus
Ly6c1	lymphocyte antigen 6 family member C1	MGI:96882	Mus musculus/domesticus	uterus
Mcrs1	microspherule protein 1	MGI:1858420	Mus musculus/domesticus	uterus
Mfge8	milk fat globule EGF and factor V/VIII domain containing	MGI:102768	Mus musculus/domesticus	placenta
Mgll	monoglyceride lipase	MGI:1346042	Mus musculus/domesticus	uterus
Mgp	matrix Gla protein	MGI:96976	Mus musculus/domesticus	uterus
Mmp14	matrix metallopeptidase 14 (membrane-inserted)	MGI:101900	Mus musculus/domesticus	placenta
Mmp14	matrix metallopeptidase 14 (membrane-inserted)	MGI:101900	Mus musculus/domesticus	uterus
Mmp15	matrix metallopeptidase 15	MGI:109320	Mus musculus/domesticus	placenta
Mmp15	matrix metallopeptidase 15	MGI:109320	Mus musculus/domesticus	uterus
Mogat2	monoacylglycerol O-acyltransferase 2	MGI:2663253	Mus musculus/domesticus	placenta
Msn	moesin	MGI:97167	Mus musculus/domesticus	uterus
Mt1	metallothionein 1	MGI:97171	Mus musculus/domesticus	placenta
Mt1	metallothionein 1	MGI:97171	Mus musculus/domesticus	uterus
Mt3	metallothionein 3	MGI:97173	Mus musculus/domesticus	placenta
Mt4	metallothionein 4	MGI:99692	Mus musculus/domesticus	placenta
Mtnr1a	melatonin receptor 1A	MGI:102967	Mus musculus/domesticus	placenta
Mtnr1a	melatonin receptor 1A	MGI:102967	Mus musculus/domesticus	uterus
Mtnr1b	melatonin receptor 1B	MGI:2181726	Mus musculus/domesticus	uterus
Mycn	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived	MGI:97357	Mus musculus/domesticus	placenta
Nek2	NIMA (never in mitosis gene a)-related expressed kinase 2	MGI:109359	Mus musculus/domesticus	uterus
Ngef	neuronal guanine nucleotide exchange factor	MGI:1858414	Mus musculus/domesticus	uterus
Npas2	neuronal PAS domain protein 2	MGI:109232	Mus musculus/domesticus	placenta
Npas2	neuronal PAS domain protein 2	MGI:109232	Mus musculus/domesticus	uterus
Olr1	oxidized low density lipoprotein (lectin-like) receptor 1	MGI:1261434	Mus musculus/domesticus	placenta
Olr1	oxidized low density lipoprotein (lectin-like) receptor 1	MGI:1261434	Mus musculus/domesticus	uterus
Pax8	paired box 8	MGI:97492	Mus musculus/domesticus	placenta
Pcsk6	proprotein convertase subtilisin/kexin type 6	MGI:102897	Mus musculus/domesticus	placenta
Pcsk6	proprotein convertase subtilisin/kexin type 6	MGI:102897	Mus musculus/domesticus	uterus
Pdpn	podoplanin	MGI:103098	Mus musculus/domesticus	uterus
Pigh	phosphatidylinositol glycan anchor biosynthesis, class H	MGI:99463	Mus musculus/domesticus	uterus
Plvap	plasmalemma vesicle associated protein	MGI:1890497	Mus musculus/domesticus	placenta
Ppp1r9b	protein phosphatase 1, regulatory subunit 9B	MGI:2387581	Mus musculus/domesticus	uterus
Prelp	proline arginine-rich end leucine-rich repeat	MGI:2151110	Mus musculus/domesticus	uterus
Prss28	serine protease 28	MGI:2149951	Mus musculus/domesticus	placenta
Prss28	serine protease 28	MGI:2149951	Mus musculus/domesticus	uterus
Prss29	serine protease 29	MGI:2149952	Mus musculus/domesticus	uterus
