"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Samd4b",2.75561304873179e-90,0.354368234052103,0.759,0.597,5.21058871384694e-86,"10","Samd4b"
"Morc43",3.73113344121861e-90,0.274273523865875,0.621,0.345,7.05520022400027e-86,"10","Morc4"
"Mcl1",7.777171613277e-90,0.332220947075783,0.839,0.735,1.47058538035455e-85,"10","Mcl1"
"Mob1a",1.41269048743102e-89,0.328235235967724,0.755,0.582,2.67125644268332e-85,"10","Mob1a"
"Aprt1",6.81244384502045e-89,0.283809627054528,1,0.999,1.28816500665492e-84,"10","Aprt"
"Impad1",8.38021346247813e-89,0.330632518952654,0.685,0.486,1.58461456361999e-84,"10","Impad1"
"Chchd1",9.95954153565969e-89,0.332832637210343,0.96,0.933,1.88324970897789e-84,"10","Chchd1"
"Cndp2",1.02845155055971e-88,0.308056885276299,0.649,0.421,1.94469903695335e-84,"10","Cndp2"
"Dbt",1.42049657170217e-88,0.297879308789209,0.536,0.306,2.68601696743163e-84,"10","Dbt"
"Pura1",2.58043677133015e-88,0.323111185162281,0.677,0.469,4.87934789090819e-84,"10","Pura"
"Rnf71",2.68692447446885e-88,0.315876418661471,0.959,0.931,5.08070548877315e-84,"10","Rnf7"
"Sh3bgrl2",2.849020853118e-88,0.276607996369319,0.553,0.315,5.38721353116082e-84,"10","Sh3bgrl2"
"Bag11",3.8739617223818e-88,0.338195350240035,0.944,0.891,7.32527422085174e-84,"10","Bag1"
"Rab21",4.00517856260872e-88,0.264425049711878,0.499,0.261,7.57339214403683e-84,"10","Rab21"
"Rnf220",2.55614687755179e-87,0.325026822792903,0.697,0.518,4.83341813076268e-83,"10","Rnf220"
"Hmg20b",3.02831763182261e-87,0.327529609223501,0.776,0.615,5.72624581001338e-83,"10","Hmg20b"
"Cdc42se2",3.21962497308213e-87,0.313668818833247,0.829,0.66,6.08798886160099e-83,"10","Cdc42se2"
"Slc35a4",3.84493783115972e-87,0.326094894950266,0.768,0.599,7.27039294493992e-83,"10","Slc35a4"
"Derl1",4.793468457883e-87,0.344992568334265,0.873,0.764,9.06396950701097e-83,"10","Derl1"
"Pcif1",5.36697220273651e-87,0.338473732936191,0.746,0.6,1.01484077381545e-82,"10","Pcif1"
"Lmna1",8.10418464212623e-87,0.253556515635379,0.596,0.321,1.53242027397965e-82,"10","Lmna"
"Azin1",9.66113612599896e-87,0.33011019190277,0.679,0.492,1.82682423006514e-82,"10","Azin1"
"Actn1",1.03784487452643e-86,0.327986708497175,0.864,0.695,1.96246087324203e-82,"10","Actn1"
"Paip2b",2.53016462159434e-86,0.309098705972429,0.568,0.339,4.78428828297274e-82,"10","Paip2b"
"Naa15",2.84010191358527e-86,0.310046761292737,0.894,0.794,5.37034870839839e-82,"10","Naa15"
"Surf2",7.10764714422179e-86,0.323941831421901,0.748,0.565,1.3439849985009e-81,"10","Surf2"
"Mrps121",1.9902286990164e-85,0.337934612164744,0.957,0.914,3.76332344697011e-81,"10","Mrps12"
"Nol9",2.60678365501392e-85,0.315374579402485,0.615,0.395,4.92916721326582e-81,"10","Nol9"
"Dda1",4.04234071115127e-85,0.330926133346295,0.919,0.866,7.64366205071594e-81,"10","Dda1"
"Ddx213",5.44557044191055e-85,0.340877859492425,0.943,0.837,1.02970291486087e-80,"10","Ddx21"
"Eif5",8.89517115893447e-85,0.308777617937688,0.996,0.981,1.68198791444292e-80,"10","Eif5"
"Rpl223",1.27204606076695e-84,0.308437196837677,1,0.985,2.40531189630422e-80,"10","Rpl22"
"Tiam1",1.30806183171547e-84,0.25154168386556,0.481,0.248,2.47341411759079e-80,"10","Tiam1"
"Lage31",1.32291233338096e-84,0.327464124659176,0.823,0.699,2.50149493119005e-80,"10","Lage3"
"Itgb1bp1",1.68479472047853e-84,0.308488146690565,0.615,0.404,3.18577833695284e-80,"10","Itgb1bp1"
"Sec61b",2.53356257429033e-84,0.274365236206417,0.999,0.996,4.79071347172559e-80,"10","Sec61b"
"Plk4",3.36366879814669e-84,0.401260692780456,0.715,0.535,6.36036133041558e-80,"10","Plk4"
"Tnks2",3.41006498389919e-84,0.334720008879306,0.79,0.644,6.44809187805497e-80,"10","Tnks2"
"Sms2",3.55826385048345e-84,0.331353111489395,0.909,0.696,6.72832111487916e-80,"10","Sms"
"E2f41",3.62033950263247e-84,0.316497706526876,0.795,0.661,6.84569996552774e-80,"10","E2f4"
"Erdr1",3.82341822261605e-84,0.510524927147612,0.978,0.913,7.22970151714469e-80,"10","Erdr1"
"Flnb3",4.96466286210049e-84,0.358918867623957,0.876,0.771,9.38768100594581e-80,"10","Flnb"
"Smim111",9.1745200743528e-84,0.332770672688572,0.886,0.828,1.73481000085937e-79,"10","Smim11"
"Elp5",9.80022786805466e-84,0.330943575542343,0.877,0.798,1.85312508757046e-79,"10","Elp5"
"Rcc1",1.3092056309226e-83,0.317804398236218,0.825,0.634,2.47557692751154e-79,"10","Rcc1"
"Snhg61",2.42006997065553e-83,0.305718785006067,0.936,0.844,4.57611030751254e-79,"10","Snhg6"
"Ppif1",2.93767107743978e-83,0.318060709662708,0.868,0.728,5.55484224033088e-79,"10","Ppif"
"Tsr1",3.09612594595892e-83,0.334483205796868,0.783,0.637,5.85446455121371e-79,"10","Tsr1"
"Chic23",3.40675838667294e-83,0.30711502001669,0.863,0.718,6.44183943335986e-79,"10","Chic2"
"Cycs",7.03453918416487e-83,0.291428750245013,0.998,0.989,1.33016101433374e-78,"10","Cycs"
"Ndufaf41",1.02897351143286e-82,0.320144643865291,0.806,0.646,1.9456860127684e-78,"10","Ndufaf4"
"Socs3",2.605202256239e-82,0.275418086733374,0.526,0.271,4.92617694632232e-78,"10","Socs3"
"mt-Nd43",6.70778935775241e-82,0.282313798092876,0.997,0.983,1.2683758896574e-77,"10","mt-Nd4"
"5031439G07Rik",7.10680326244233e-82,0.267448567002599,0.528,0.299,1.34382542889522e-77,"10","5031439G07Rik"
